"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1166","Login: negative cases","TestNG sampler","Tue Oct 07 19:16:56 UTC 2025","passed","Tue Oct 07 19:16:57 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6827","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 19:18:27 UTC 2025","failed","Tue Oct 07 19:18:34 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","1077","Login: negative cases","TestNG sampler","Tue Oct 07 19:17:36 UTC 2025","passed","Tue Oct 07 19:17:37 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1082","Login: negative cases","TestNG sampler","Tue Oct 07 19:17:16 UTC 2025","passed","Tue Oct 07 19:17:17 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6293","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 19:21:42 UTC 2025","failed","Tue Oct 07 19:21:48 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","6643","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:20:05 UTC 2025","failed","Tue Oct 07 19:20:11 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","6087","Login: negative cases","TestNG sampler","Tue Oct 07 19:17:30 UTC 2025","failed","Tue Oct 07 19:17:36 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6342","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 19:21:23 UTC 2025","failed","Tue Oct 07 19:21:29 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","9729","Login: negative cases","TestNG sampler","Tue Oct 07 19:16:46 UTC 2025","passed","Tue Oct 07 19:16:56 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6036","Login: positive without remember","TestNG sampler","Tue Oct 07 19:17:50 UTC 2025","failed","Tue Oct 07 19:17:56 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","6073","Login: positive with remember","TestNG sampler","Tue Oct 07 19:18:09 UTC 2025","failed","Tue Oct 07 19:18:15 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","6325","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 19:22:01 UTC 2025","failed","Tue Oct 07 19:22:08 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","6824","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:20:44 UTC 2025","failed","Tue Oct 07 19:20:51 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","6106","Login: negative cases","TestNG sampler","Tue Oct 07 19:17:10 UTC 2025","failed","Tue Oct 07 19:17:16 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6326","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:19:07 UTC 2025","failed","Tue Oct 07 19:19:13 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","6311","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:19:46 UTC 2025","failed","Tue Oct 07 19:19:52 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","6527","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:19:26 UTC 2025","failed","Tue Oct 07 19:19:32 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","6326","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:20:24 UTC 2025","failed","Tue Oct 07 19:20:31 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","6541","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 19:18:47 UTC 2025","failed","Tue Oct 07 19:18:54 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","6376","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 19:21:03 UTC 2025","failed","Tue Oct 07 19:21:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
