"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","Login: negative cases","TestNG sampler","Tue Oct 07 21:52:50 UTC 2025","broken","Tue Oct 07 21:52:50 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","0","Login: positive with remember","TestNG sampler","Tue Oct 07 21:52:52 UTC 2025","skipped","Tue Oct 07 21:52:52 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","196","Login: negative cases","TestNG sampler","Tue Oct 07 21:52:50 UTC 2025","broken","Tue Oct 07 21:52:50 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","199","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","broken","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","0","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","200","Login: negative cases","TestNG sampler","Tue Oct 07 21:52:49 UTC 2025","broken","Tue Oct 07 21:52:49 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","0","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","0","tearDown","TestNG sampler","Tue Oct 07 21:52:52 UTC 2025","broken","Tue Oct 07 21:52:52 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","tearDown"
"","195","Login: negative cases","TestNG sampler","Tue Oct 07 21:52:51 UTC 2025","broken","Tue Oct 07 21:52:52 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1","tearDown","TestNG sampler","Tue Oct 07 21:52:49 UTC 2025","broken","Tue Oct 07 21:52:49 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","tearDown"
"","0","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","0","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","0","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 21:52:53 UTC 2025","skipped","Tue Oct 07 21:52:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","196","Login: negative cases","TestNG sampler","Tue Oct 07 21:52:51 UTC 2025","broken","Tue Oct 07 21:52:51 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","192","Login: negative cases","TestNG sampler","Tue Oct 07 21:52:52 UTC 2025","broken","Tue Oct 07 21:52:52 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","0","Login: positive without remember","TestNG sampler","Tue Oct 07 21:52:52 UTC 2025","skipped","Tue Oct 07 21:52:52 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
