"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10839","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:07:08 UTC 2025","failed","Tue Oct 07 20:07:18 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","11054","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 20:05:29 UTC 2025","failed","Tue Oct 07 20:05:40 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","10806","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 20:11:01 UTC 2025","failed","Tue Oct 07 20:11:11 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","10805","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 20:10:26 UTC 2025","failed","Tue Oct 07 20:10:37 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","986","Login: negative cases","TestNG sampler","Tue Oct 07 20:02:52 UTC 2025","passed","Tue Oct 07 20:02:53 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10923","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:08:14 UTC 2025","failed","Tue Oct 07 20:08:25 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10771","Login: positive with remember","TestNG sampler","Tue Oct 07 20:04:56 UTC 2025","failed","Tue Oct 07 20:05:06 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","10839","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 20:11:33 UTC 2025","failed","Tue Oct 07 20:11:44 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","10805","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:07:40 UTC 2025","failed","Tue Oct 07 20:07:51 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10837","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:06:35 UTC 2025","failed","Tue Oct 07 20:06:46 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10754","Login: positive without remember","TestNG sampler","Tue Oct 07 20:04:23 UTC 2025","failed","Tue Oct 07 20:04:34 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","10903","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 20:06:02 UTC 2025","failed","Tue Oct 07 20:06:13 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","13508","Login: negative cases","TestNG sampler","Tue Oct 07 20:02:39 UTC 2025","passed","Tue Oct 07 20:02:52 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10750","Login: negative cases","TestNG sampler","Tue Oct 07 20:03:15 UTC 2025","failed","Tue Oct 07 20:03:26 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","959","Login: negative cases","TestNG sampler","Tue Oct 07 20:03:26 UTC 2025","passed","Tue Oct 07 20:03:27 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","11272","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:09:20 UTC 2025","failed","Tue Oct 07 20:09:31 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10767","Login: negative cases","TestNG sampler","Tue Oct 07 20:03:49 UTC 2025","failed","Tue Oct 07 20:04:00 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","745","Login: negative cases","TestNG sampler","Tue Oct 07 20:04:00 UTC 2025","passed","Tue Oct 07 20:04:01 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","11006","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 20:09:53 UTC 2025","failed","Tue Oct 07 20:10:04 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","10788","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:08:47 UTC 2025","failed","Tue Oct 07 20:08:58 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
