"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3245","Workout: negative cases with invalid date or distance","TestNG sampler","Wed Oct 08 12:39:51 UTC 2025","passed","Wed Oct 08 12:39:54 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","834","Login: negative cases","TestNG sampler","Wed Oct 08 12:39:34 UTC 2025","passed","Wed Oct 08 12:39:35 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","899","Login: negative cases","TestNG sampler","Wed Oct 08 12:39:33 UTC 2025","passed","Wed Oct 08 12:39:34 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","11638","Login: negative cases","TestNG sampler","Wed Oct 08 12:39:21 UTC 2025","passed","Wed Oct 08 12:39:33 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1849","Login: positive without remember","TestNG sampler","Wed Oct 08 12:39:39 UTC 2025","passed","Wed Oct 08 12:39:41 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","1534","Login: negative cases","TestNG sampler","Wed Oct 08 12:39:36 UTC 2025","passed","Wed Oct 08 12:39:38 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1277","Login: negative cases","TestNG sampler","Wed Oct 08 12:39:38 UTC 2025","passed","Wed Oct 08 12:39:39 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","3475","Workout: negative cases with invalid date or distance","TestNG sampler","Wed Oct 08 12:39:57 UTC 2025","passed","Wed Oct 08 12:40:01 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","4786","Workout: positive case with all fields filled","TestNG sampler","Wed Oct 08 12:40:01 UTC 2025","passed","Wed Oct 08 12:40:06 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","3427","Workout: select date from calendar and verify in input field","TestNG sampler","Wed Oct 08 12:39:36 UTC 2025","passed","Wed Oct 08 12:39:39 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","5479","Workout: positive case with subtype Fartlek","TestNG sampler","Wed Oct 08 12:40:06 UTC 2025","passed","Wed Oct 08 12:40:11 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","14325","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Wed Oct 08 12:39:21 UTC 2025","passed","Wed Oct 08 12:39:36 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","3162","Workout: negative cases with invalid date or distance","TestNG sampler","Wed Oct 08 12:39:47 UTC 2025","passed","Wed Oct 08 12:39:50 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","3450","Workout: negative cases with invalid date or distance","TestNG sampler","Wed Oct 08 12:39:54 UTC 2025","passed","Wed Oct 08 12:39:57 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","4808","Workout: negative cases with invalid date or distance","TestNG sampler","Wed Oct 08 12:39:42 UTC 2025","passed","Wed Oct 08 12:39:47 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","3035","Workout: positive case with only date field","TestNG sampler","Wed Oct 08 12:40:11 UTC 2025","passed","Wed Oct 08 12:40:14 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","1019","Login: negative cases","TestNG sampler","Wed Oct 08 12:39:35 UTC 2025","passed","Wed Oct 08 12:39:36 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","2976","Login: positive with remember","TestNG sampler","Wed Oct 08 12:39:41 UTC 2025","passed","Wed Oct 08 12:39:44 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","3723","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Wed Oct 08 12:40:15 UTC 2025","passed","Wed Oct 08 12:40:18 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","3194","Workout: negative cases with invalid date or distance","TestNG sampler","Wed Oct 08 12:39:39 UTC 2025","passed","Wed Oct 08 12:39:42 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
