"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5710","Login: positive without remember","TestNG sampler","Tue Oct 07 19:11:06 UTC 2025","failed","Tue Oct 07 19:11:12 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","5810","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:11:04 UTC 2025","failed","Tue Oct 07 19:11:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5737","Login: positive with remember","TestNG sampler","Tue Oct 07 19:11:24 UTC 2025","failed","Tue Oct 07 19:11:30 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","5808","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 19:10:28 UTC 2025","failed","Tue Oct 07 19:10:34 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","5759","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:12:32 UTC 2025","failed","Tue Oct 07 19:12:37 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1192","Login: negative cases","TestNG sampler","Tue Oct 07 19:10:16 UTC 2025","passed","Tue Oct 07 19:10:17 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6726","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 19:13:26 UTC 2025","failed","Tue Oct 07 19:13:32 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","5743","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:11:57 UTC 2025","failed","Tue Oct 07 19:12:02 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5873","Login: negative cases","TestNG sampler","Tue Oct 07 19:10:48 UTC 2025","failed","Tue Oct 07 19:10:54 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","777","Login: negative cases","TestNG sampler","Tue Oct 07 19:10:54 UTC 2025","passed","Tue Oct 07 19:10:55 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","5859","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:11:39 UTC 2025","failed","Tue Oct 07 19:11:45 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5924","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 19:10:46 UTC 2025","failed","Tue Oct 07 19:10:52 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","5728","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 19:12:49 UTC 2025","failed","Tue Oct 07 19:12:55 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","693","Login: negative cases","TestNG sampler","Tue Oct 07 19:10:35 UTC 2025","passed","Tue Oct 07 19:10:36 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","5891","Login: negative cases","TestNG sampler","Tue Oct 07 19:10:29 UTC 2025","failed","Tue Oct 07 19:10:35 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","5726","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:12:14 UTC 2025","failed","Tue Oct 07 19:12:20 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5777","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:11:21 UTC 2025","failed","Tue Oct 07 19:11:27 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5894","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 19:13:07 UTC 2025","failed","Tue Oct 07 19:13:13 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","6276","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 19:13:45 UTC 2025","failed","Tue Oct 07 19:13:51 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","4072","Login: negative cases","TestNG sampler","Tue Oct 07 19:10:11 UTC 2025","passed","Tue Oct 07 19:10:15 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
