"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4108","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:57:11 UTC 2025","passed","Tue Oct 07 21:57:15 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1010","Login: negative cases","TestNG sampler","Tue Oct 07 21:56:48 UTC 2025","passed","Tue Oct 07 21:56:49 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","3227","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 21:57:41 UTC 2025","passed","Tue Oct 07 21:57:44 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","11174","Login: negative cases","TestNG sampler","Tue Oct 07 21:56:32 UTC 2025","passed","Tue Oct 07 21:56:43 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1004","Login: negative cases","TestNG sampler","Tue Oct 07 21:56:44 UTC 2025","passed","Tue Oct 07 21:56:45 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","3962","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 21:56:55 UTC 2025","passed","Tue Oct 07 21:56:59 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","4346","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 21:57:36 UTC 2025","passed","Tue Oct 07 21:57:41 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","2788","Login: positive with remember","TestNG sampler","Tue Oct 07 21:56:52 UTC 2025","passed","Tue Oct 07 21:56:55 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","2744","Login: positive without remember","TestNG sampler","Tue Oct 07 21:56:49 UTC 2025","passed","Tue Oct 07 21:56:52 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","3945","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:57:03 UTC 2025","passed","Tue Oct 07 21:57:06 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","4264","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:57:19 UTC 2025","passed","Tue Oct 07 21:57:23 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","3940","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:57:23 UTC 2025","passed","Tue Oct 07 21:57:27 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","3568","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 21:56:59 UTC 2025","passed","Tue Oct 07 21:57:02 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","1211","Login: negative cases","TestNG sampler","Tue Oct 07 21:56:47 UTC 2025","passed","Tue Oct 07 21:56:48 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","4358","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 21:57:32 UTC 2025","passed","Tue Oct 07 21:57:36 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","1167","Login: negative cases","TestNG sampler","Tue Oct 07 21:56:46 UTC 2025","passed","Tue Oct 07 21:56:47 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","4511","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 21:57:27 UTC 2025","passed","Tue Oct 07 21:57:32 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","4169","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:57:15 UTC 2025","passed","Tue Oct 07 21:57:19 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1314","Login: negative cases","TestNG sampler","Tue Oct 07 21:56:43 UTC 2025","passed","Tue Oct 07 21:56:44 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","3955","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:57:07 UTC 2025","passed","Tue Oct 07 21:57:11 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
