"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3451","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 22:15:08 UTC 2025","passed","Tue Oct 07 22:15:12 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","743","Login: negative cases","TestNG sampler","Tue Oct 07 22:14:55 UTC 2025","passed","Tue Oct 07 22:14:56 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1875","Login: positive without remember","TestNG sampler","Tue Oct 07 22:14:56 UTC 2025","passed","Tue Oct 07 22:14:58 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","4225","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 22:15:48 UTC 2025","passed","Tue Oct 07 22:15:52 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","3969","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:15:22 UTC 2025","passed","Tue Oct 07 22:15:26 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","3403","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:15:12 UTC 2025","passed","Tue Oct 07 22:15:15 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","4789","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 22:15:52 UTC 2025","passed","Tue Oct 07 22:15:57 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","3480","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 22:15:44 UTC 2025","passed","Tue Oct 07 22:15:48 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","6680","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:15:30 UTC 2025","passed","Tue Oct 07 22:15:37 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","786","Login: negative cases","TestNG sampler","Tue Oct 07 22:14:53 UTC 2025","passed","Tue Oct 07 22:14:53 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","4078","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:15:26 UTC 2025","passed","Tue Oct 07 22:15:30 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","859","Login: negative cases","TestNG sampler","Tue Oct 07 22:14:54 UTC 2025","passed","Tue Oct 07 22:14:55 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","30201","Login: negative cases","TestNG sampler","Tue Oct 07 22:14:21 UTC 2025","passed","Tue Oct 07 22:14:51 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","3694","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 22:15:40 UTC 2025","passed","Tue Oct 07 22:15:44 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","770","Login: negative cases","TestNG sampler","Tue Oct 07 22:14:53 UTC 2025","passed","Tue Oct 07 22:14:54 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6895","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:15:15 UTC 2025","passed","Tue Oct 07 22:15:22 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1190","Login: negative cases","TestNG sampler","Tue Oct 07 22:14:51 UTC 2025","passed","Tue Oct 07 22:14:53 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","3375","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:15:37 UTC 2025","passed","Tue Oct 07 22:15:40 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","8205","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 22:15:00 UTC 2025","passed","Tue Oct 07 22:15:08 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","1687","Login: positive with remember","TestNG sampler","Tue Oct 07 22:14:58 UTC 2025","passed","Tue Oct 07 22:15:00 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
