"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4033","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:05:43 UTC 2025","passed","Tue Oct 07 22:05:47 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","7127","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 22:05:58 UTC 2025","passed","Tue Oct 07 22:06:05 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","1780","Login: positive with remember","TestNG sampler","Tue Oct 07 22:05:25 UTC 2025","passed","Tue Oct 07 22:05:27 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","3446","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:05:47 UTC 2025","passed","Tue Oct 07 22:05:50 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","3931","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 22:05:54 UTC 2025","passed","Tue Oct 07 22:05:58 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","3620","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 22:05:30 UTC 2025","passed","Tue Oct 07 22:05:33 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","779","Login: negative cases","TestNG sampler","Tue Oct 07 22:05:20 UTC 2025","passed","Tue Oct 07 22:05:21 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","2855","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:05:37 UTC 2025","passed","Tue Oct 07 22:05:40 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","3220","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 22:06:05 UTC 2025","passed","Tue Oct 07 22:06:09 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","859","Login: negative cases","TestNG sampler","Tue Oct 07 22:05:21 UTC 2025","passed","Tue Oct 07 22:05:22 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","2328","Login: positive without remember","TestNG sampler","Tue Oct 07 22:05:23 UTC 2025","passed","Tue Oct 07 22:05:25 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","3817","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:05:50 UTC 2025","passed","Tue Oct 07 22:05:54 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","2889","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:05:40 UTC 2025","passed","Tue Oct 07 22:05:43 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","2716","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 22:06:09 UTC 2025","passed","Tue Oct 07 22:06:11 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","814","Login: negative cases","TestNG sampler","Tue Oct 07 22:05:22 UTC 2025","passed","Tue Oct 07 22:05:23 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","779","Login: negative cases","TestNG sampler","Tue Oct 07 22:05:19 UTC 2025","passed","Tue Oct 07 22:05:20 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","3117","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 22:05:33 UTC 2025","passed","Tue Oct 07 22:05:37 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","32158","Login: negative cases","TestNG sampler","Tue Oct 07 22:04:45 UTC 2025","passed","Tue Oct 07 22:05:18 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1410","Login: negative cases","TestNG sampler","Tue Oct 07 22:05:18 UTC 2025","passed","Tue Oct 07 22:05:19 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","2703","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 22:05:27 UTC 2025","passed","Tue Oct 07 22:05:30 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
