"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","944","Login: negative cases","TestNG sampler","Tue Oct 07 21:13:06 UTC 2025","passed","Tue Oct 07 21:13:07 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","11239","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 21:19:56 UTC 2025","failed","Tue Oct 07 21:20:07 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","998","Login: negative cases","TestNG sampler","Tue Oct 07 21:12:31 UTC 2025","passed","Tue Oct 07 21:12:32 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10883","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 21:21:04 UTC 2025","failed","Tue Oct 07 21:21:15 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","10935","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:16:35 UTC 2025","failed","Tue Oct 07 21:16:46 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10824","Login: negative cases","TestNG sampler","Tue Oct 07 21:13:29 UTC 2025","failed","Tue Oct 07 21:13:40 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10871","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 21:15:42 UTC 2025","failed","Tue Oct 07 21:15:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","10904","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:18:49 UTC 2025","failed","Tue Oct 07 21:19:00 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10821","Login: positive without remember","TestNG sampler","Tue Oct 07 21:14:03 UTC 2025","failed","Tue Oct 07 21:14:14 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","10921","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 21:15:09 UTC 2025","failed","Tue Oct 07 21:15:20 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","10986","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:18:16 UTC 2025","failed","Tue Oct 07 21:18:27 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","11021","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 21:21:37 UTC 2025","failed","Tue Oct 07 21:21:48 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","10978","Login: negative cases","TestNG sampler","Tue Oct 07 21:12:55 UTC 2025","failed","Tue Oct 07 21:13:06 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","894","Login: negative cases","TestNG sampler","Tue Oct 07 21:13:40 UTC 2025","passed","Tue Oct 07 21:13:41 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10923","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:19:22 UTC 2025","failed","Tue Oct 07 21:19:33 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","13655","Login: negative cases","TestNG sampler","Tue Oct 07 21:12:17 UTC 2025","passed","Tue Oct 07 21:12:31 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","11185","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:17:42 UTC 2025","failed","Tue Oct 07 21:17:54 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10916","Login: positive with remember","TestNG sampler","Tue Oct 07 21:14:36 UTC 2025","failed","Tue Oct 07 21:14:47 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","11706","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 21:20:30 UTC 2025","failed","Tue Oct 07 21:20:42 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","10872","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:17:09 UTC 2025","failed","Tue Oct 07 21:17:20 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
