"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","202","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","broken","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","0","Login: positive with remember","TestNG sampler","Tue Oct 07 18:58:13 UTC 2025","skipped","Tue Oct 07 18:58:13 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","193","Login: negative cases","TestNG sampler","Tue Oct 07 18:58:11 UTC 2025","broken","Tue Oct 07 18:58:11 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","0","Login: positive without remember","TestNG sampler","Tue Oct 07 18:58:13 UTC 2025","skipped","Tue Oct 07 18:58:13 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","0","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","0","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","193","Login: negative cases","TestNG sampler","Tue Oct 07 18:58:12 UTC 2025","broken","Tue Oct 07 18:58:13 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","206","Login: negative cases","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","broken","Tue Oct 07 18:58:10 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","0","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","1","tearDown","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","broken","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","tearDown"
"","0","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","196","Login: negative cases","TestNG sampler","Tue Oct 07 18:58:11 UTC 2025","broken","Tue Oct 07 18:58:11 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","193","Login: negative cases","TestNG sampler","Tue Oct 07 18:58:13 UTC 2025","broken","Tue Oct 07 18:58:13 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","1","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","skipped","Tue Oct 07 18:58:10 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","0","tearDown","TestNG sampler","Tue Oct 07 18:58:10 UTC 2025","broken","Tue Oct 07 18:58:10 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","tearDown"
"","191","Login: negative cases","TestNG sampler","Tue Oct 07 18:58:12 UTC 2025","broken","Tue Oct 07 18:58:12 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
