"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10921","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:11:24 UTC 2025","failed","Tue Oct 07 21:11:35 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","13371","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 21:10:13 UTC 2025","failed","Tue Oct 07 21:10:26 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","11100","Login: negative cases","TestNG sampler","Tue Oct 07 21:08:04 UTC 2025","failed","Tue Oct 07 21:08:15 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10905","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 21:15:50 UTC 2025","failed","Tue Oct 07 21:16:01 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","10872","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:13:05 UTC 2025","failed","Tue Oct 07 21:13:16 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10822","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:14:11 UTC 2025","failed","Tue Oct 07 21:14:22 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10822","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 21:14:44 UTC 2025","failed","Tue Oct 07 21:14:54 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","11118","Login: negative cases","TestNG sampler","Tue Oct 07 21:07:30 UTC 2025","failed","Tue Oct 07 21:07:41 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","11186","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 21:10:49 UTC 2025","failed","Tue Oct 07 21:11:00 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","10818","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 21:16:42 UTC 2025","failed","Tue Oct 07 21:16:53 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","9485","Login: negative cases","TestNG sampler","Tue Oct 07 21:06:57 UTC 2025","passed","Tue Oct 07 21:07:07 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","11371","Login: positive with remember","TestNG sampler","Tue Oct 07 21:09:13 UTC 2025","failed","Tue Oct 07 21:09:24 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","10923","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:12:31 UTC 2025","failed","Tue Oct 07 21:12:42 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","10954","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:11:58 UTC 2025","failed","Tue Oct 07 21:12:09 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","941","Login: negative cases","TestNG sampler","Tue Oct 07 21:07:41 UTC 2025","passed","Tue Oct 07 21:07:42 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10872","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:13:38 UTC 2025","failed","Tue Oct 07 21:13:49 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","11854","Login: positive without remember","TestNG sampler","Tue Oct 07 21:08:38 UTC 2025","failed","Tue Oct 07 21:08:50 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","1021","Login: negative cases","TestNG sampler","Tue Oct 07 21:07:07 UTC 2025","passed","Tue Oct 07 21:07:08 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","758","Login: negative cases","TestNG sampler","Tue Oct 07 21:08:15 UTC 2025","passed","Tue Oct 07 21:08:16 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","10923","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 21:15:17 UTC 2025","failed","Tue Oct 07 21:15:28 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
