"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7260","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 21:02:24 UTC 2025","failed","Tue Oct 07 21:02:32 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","5772","Login: negative cases","TestNG sampler","Tue Oct 07 20:57:32 UTC 2025","failed","Tue Oct 07 20:57:38 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","784","Login: negative cases","TestNG sampler","Tue Oct 07 20:57:00 UTC 2025","passed","Tue Oct 07 20:57:01 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","7543","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 21:02:01 UTC 2025","failed","Tue Oct 07 21:02:09 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","6333","Login: positive with remember","TestNG sampler","Tue Oct 07 20:58:09 UTC 2025","failed","Tue Oct 07 20:58:15 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","6494","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:00:33 UTC 2025","failed","Tue Oct 07 21:00:39 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5743","Login: positive without remember","TestNG sampler","Tue Oct 07 20:57:51 UTC 2025","failed","Tue Oct 07 20:57:56 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","6442","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 21:01:42 UTC 2025","failed","Tue Oct 07 21:01:48 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","7161","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 21:01:18 UTC 2025","failed","Tue Oct 07 21:01:25 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","5988","Login: negative cases","TestNG sampler","Tue Oct 07 20:57:13 UTC 2025","failed","Tue Oct 07 20:57:19 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6877","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:00:12 UTC 2025","failed","Tue Oct 07 21:00:19 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","7160","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:59:07 UTC 2025","failed","Tue Oct 07 20:59:15 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","7043","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:59:50 UTC 2025","failed","Tue Oct 07 20:59:57 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","934","Login: negative cases","TestNG sampler","Tue Oct 07 20:57:19 UTC 2025","passed","Tue Oct 07 20:57:20 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6611","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 20:58:28 UTC 2025","failed","Tue Oct 07 20:58:35 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","6491","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 20:58:48 UTC 2025","failed","Tue Oct 07 20:58:55 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
"","6910","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 20:59:28 UTC 2025","failed","Tue Oct 07 20:59:35 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","761","Login: negative cases","TestNG sampler","Tue Oct 07 20:57:38 UTC 2025","passed","Tue Oct 07 20:57:39 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","14483","Login: negative cases","TestNG sampler","Tue Oct 07 20:56:46 UTC 2025","passed","Tue Oct 07 20:57:00 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","7260","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 21:00:52 UTC 2025","failed","Tue Oct 07 21:00:59 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
